"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:18:15.4127149","Explorer.EXE","6308","RegOpenKey","HKCR\.PML","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"21:18:15.4127209","Explorer.EXE","6308","QueryStatInformation","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"21:18:15.4127286","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4127415","Explorer.EXE","6308","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"21:18:15.4127463","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\OEM\DeviceForm","NAME NOT FOUND","Length: 20"
"21:18:15.4127690","Explorer.EXE","6308","IRP_MJ_CLOSE","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"21:18:15.4127910","Explorer.EXE","6308","RegQueryValue","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties\System.DateModified","NAME NOT FOUND","Length: 16"
"21:18:15.4127961","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS","Desired Access: Read"
"21:18:15.4128126","Explorer.EXE","6308","RegQueryValue","HKCU\Software\Classes\.PML\(Default)","SUCCESS","Type: REG_SZ, Length: 36, Data: ProcMon.Logfile.1"
"21:18:15.4128245","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\WCOSEnumerationBaselineAllowedlist","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4128403","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\OEM","SUCCESS",""
"21:18:15.4128802","Procmon64.exe","10216","QueryOpen","C:\Windows\System32\dwmapi.dll","FAST IO DISALLOWED",""
"21:18:15.4128866","Explorer.EXE","6308","QueryStandardInformationFile","C:\Users\rabBIThole\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db","SUCCESS","AllocationSize: 933,888, EndOfFile: 930,960, NumberOfLinks: 1, DeletePending: False, Directory: False"
"21:18:15.4128957","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: Name"
"21:18:15.4129254","Explorer.EXE","6308","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\DisableDoubleQuerySdbs","NAME NOT FOUND","Length: 20"
"21:18:15.4129406","Explorer.EXE","6308","RegCloseKey","HKCR\.pml","SUCCESS",""
"21:18:15.4129429","Explorer.EXE","6308","CreateFile","C:\Windows\System32","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4129435","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4129486","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4129699","Explorer.EXE","6308","RegOpenKey","HKCU","SUCCESS","Desired Access: Read"
"21:18:15.4130017","Explorer.EXE","6308","QueryCaseSensitiveInformation","C:\Windows\System32","SUCCESS",""
"21:18:15.4130060","Procmon64.exe","10216","CreateFile","C:\Windows\System32\dwmapi.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4130169","Explorer.EXE","6308","CloseFile","C:\Windows\System32","SUCCESS",""
"21:18:15.4130239","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4130335","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"21:18:15.4130361","Explorer.EXE","6308","IRP_MJ_CLOSE","C:\Windows\System32","SUCCESS",""
"21:18:15.4130586","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager","SUCCESS","Desired Access: Read"
"21:18:15.4130689","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4130760","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\AllowedEnumeration","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4130767","Procmon64.exe","10216","QueryBasicInformationFile","C:\Windows\System32\dwmapi.dll","SUCCESS","CreationTime: 2026/7/15 10:40:43, LastAccessTime: 2026/7/15 10:40:43, LastWriteTime: 2026/7/15 10:40:43, ChangeTime: 2026/7/25 17:46:56, FileAttributes: A"
"21:18:15.4130880","Procmon64.exe","10216","CloseFile","C:\Windows\System32\dwmapi.dll","SUCCESS",""
"21:18:15.4130992","Explorer.EXE","6308","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4131022","Procmon64.exe","10216","IRP_MJ_CLOSE","C:\Windows\System32\dwmapi.dll","SUCCESS",""
"21:18:15.4131298","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","NAME NOT FOUND","Desired Access: Maximum Allowed"
"21:18:15.4131574","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS","Desired Access: Read"
"21:18:15.4131587","Explorer.EXE","6308","QueryOpen","C:\Windows\System32\imageres.dll","FAST IO DISALLOWED",""
"21:18:15.4131736","Explorer.EXE","6308","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:18:15.4131897","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.pml","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4132059","Explorer.EXE","6308","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4132333","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\Microsoft.Windows.Photos_8wekyb3d8bbwe\ResourceQualifiers","REPARSE","Desired Access: Read"
"21:18:15.4132476","Explorer.EXE","6308","RegQueryValue","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties\System.Kind","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"21:18:15.4132758","Explorer.EXE","6308","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS","Index: 0, Type: REG_SZ, Length: 24, Data: sysmain.sdb"
"21:18:15.4132830","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager","SUCCESS","Query: Cached, SubKeys: 1, Values: 0"
"21:18:15.4133210","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"21:18:15.4133311","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\AllowedEnumeration","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4133581","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\Local Settings\Software\Microsoft\Windows\CurrentVersion\AppContainer\Storage\Microsoft.Windows.Photos_8wekyb3d8bbwe\ResourceQualifiers","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4133808","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: Name"
"21:18:15.4133869","Explorer.EXE","6308","RegEnumValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS","Index: 0, Type: REG_SZ"
"21:18:15.4134163","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SyncRootManager","SUCCESS",""
"21:18:15.4134762","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4135159","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4135169","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates\ManifestedMergeStubSdbs","SUCCESS",""
"21:18:15.4135176","Explorer.EXE","6308","RegCloseKey","HKCU","SUCCESS",""
"21:18:15.4135299","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4135324","Procmon64.exe","10216","QueryOpen","C:\Windows\System32\DataExchange.dll","FAST IO DISALLOWED",""
"21:18:15.4135600","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Desired Access: Read"
"21:18:15.4135638","Explorer.EXE","6308","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4136484","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","NAME NOT FOUND","Desired Access: Maximum Allowed"
"21:18:15.4136515","Explorer.EXE","6308","RegQueryKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4136784","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions\{C4900540-2379-4C75-844B-64E6FAF8716B}","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4136843","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\.pml\OpenWithProgids","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4136870","Explorer.EXE","6308","RegQueryValue","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties\System.FileName","NAME NOT FOUND","Length: 16"
